src,dst,weight,tx_count,is_layering
WALLET_0x0000000004b0,WALLET_0x00000000006c,102814.22679559045,9,0
WALLET_0x0000000004e9,WALLET_0x0000000007c4,101158.76722892675,21,0
WALLET_0x0000000000f4,WALLET_0x000000000529,1115320.3620203005,23,0
WALLET_0x0000000003e1,WALLET_0x00000000002f,412636.3601693141,24,0
WALLET_0x0000000002d2,WALLET_0x000000000564,74562.951838361,5,0
WALLET_0x0000000005ba,WALLET_0x0000000007cb,106114.76757971579,13,0
WALLET_0x0000000006c3,WALLET_0x00000000026e,252907.2909875574,25,0
WALLET_0x0000000003a0,WALLET_0x000000000408,79662.744637998,28,0
WALLET_0x00000000020c,WALLET_0x00000000071f,287246.94654506276,24,0
WALLET_0x00000000044a,WALLET_0x0000000004f5,302817.2036809997,5,0
WALLET_0x00000000059d,WALLET_0x00000000048e,111792.82450426456,3,0
WALLET_0x000000000476,WALLET_0x000000000082,1172979.3256331733,4,0
WALLET_0x000000000705,WALLET_0x0000000002f3,95743.33786084446,22,0
WALLET_0x000000000302,WALLET_0x000000000549,2866213.5473735416,4,0
WALLET_0x000000000684,WALLET_0x000000000696,318785.5019705701,7,0
WALLET_0x0000000004de,WALLET_0x00000000054e,164474.74542103897,10,0
WALLET_0x000000000107,WALLET_0x0000000001b2,993558.4433797088,11,0
WALLET_0x000000000262,WALLET_0x0000000004c6,465873.4861062726,1,0
WALLET_0x0000000006f4,WALLET_0x000000000338,1383101.5635636882,8,0
WALLET_0x00000000043a,WALLET_0x000000000038,21991.573818708894,9,0
WALLET_0x00000000047c,WALLET_0x0000000004a7,960565.2022192653,8,0
WALLET_0x00000000012b,WALLET_0x00000000024f,203025.0067284564,25,0
WALLET_0x000000000016,WALLET_0x00000000049c,468071.53778678994,30,0
WALLET_0x00000000047f,WALLET_0x000000000799,387606.1309765495,17,0
WALLET_0x0000000006b0,WALLET_0x0000000002da,3334802.892733204,11,0
WALLET_0x000000000617,WALLET_0x0000000006c1,27153.343035562975,20,0
WALLET_0x000000000164,WALLET_0x0000000001a5,4981002.742817739,1,0
WALLET_0x00000000027c,WALLET_0x000000000185,1276542.9310147532,10,0
WALLET_0x0000000005b6,WALLET_0x00000000004a,555822.7268891772,24,0
WALLET_0x000000000285,WALLET_0x000000000368,51519.34243405723,21,0
WALLET_0x00000000029e,WALLET_0x0000000001ff,36022.473617422715,2,0
WALLET_0x0000000001f3,WALLET_0x000000000014,190723.48632971995,12,0
WALLET_0x000000000468,WALLET_0x000000000790,1146993.2786584853,28,0
WALLET_0x0000000004e5,WALLET_0x0000000003c2,438447.81520699675,1,0
WALLET_0x0000000004a5,WALLET_0x000000000236,1053217.3714413997,1,0
WALLET_0x0000000001a1,WALLET_0x0000000001bf,49264.81525207826,3,0
WALLET_0x0000000006ff,WALLET_0x00000000051e,472881.21727191523,18,0
WALLET_0x0000000005b5,WALLET_0x000000000464,2287733.306399675,15,0
WALLET_0x000000000399,WALLET_0x0000000005a1,3905241.391980104,8,0
WALLET_0x000000000140,WALLET_0x0000000004e7,67443.74735395459,25,0
WALLET_0x0000000004a6,WALLET_0x0000000000e0,260958.44005959606,30,0
WALLET_0x000000000609,WALLET_0x000000000779,265349.84837568365,4,0
WALLET_0x000000000094,WALLET_0x0000000001a4,172897.26720490976,26,0
WALLET_0x00000000035f,WALLET_0x0000000005df,1726583.2236051564,6,0
WALLET_0x00000000006f,WALLET_0x0000000001c0,32841813.589536928,29,0
WALLET_0x000000000663,WALLET_0x00000000036c,83235.40823336273,10,0
WALLET_0x0000000003ca,WALLET_0x0000000004d7,836642.4776047898,19,0
WALLET_0x0000000005b8,WALLET_0x00000000079c,689208.2215941739,6,0
WALLET_0x000000000239,WALLET_0x000000000473,711745.2778471889,22,0
WALLET_0x000000000794,WALLET_0x0000000003e8,3267369.7265990013,11,0
WALLET_0x0000000006f1,WALLET_0x0000000005f3,774474.0720948259,25,0
WALLET_0x000000000184,WALLET_0x00000000054a,17953.72621490326,6,0
WALLET_0x00000000067e,WALLET_0x000000000540,51264.97846835192,14,0
WALLET_0x00000000027d,WALLET_0x00000000014e,89284.99502217452,6,0
WALLET_0x000000000683,WALLET_0x00000000026a,143939.8661830407,7,0
WALLET_0x00000000021e,WALLET_0x000000000007,358838.3417616314,7,0
WALLET_0x000000000268,WALLET_0x0000000001ad,320596.31501097843,25,0
WALLET_0x0000000002c9,WALLET_0x000000000482,28707.204847105473,1,0
WALLET_0x00000000057c,WALLET_0x000000000103,39614.34604507469,30,0
WALLET_0x00000000071c,WALLET_0x000000000726,18426.172021482085,10,0
WALLET_0x00000000052e,WALLET_0x0000000004f1,43001.04620772847,15,0
WALLET_0x0000000007a2,WALLET_0x00000000013f,1956653.9046481473,11,0
WALLET_0x000000000682,WALLET_0x000000000478,294878.9450634924,30,0
WALLET_0x0000000006cd,WALLET_0x000000000764,105973.47325479066,9,0
WALLET_0x0000000005cd,WALLET_0x00000000072d,24925.243462703387,7,0
WALLET_0x00000000037d,WALLET_0x00000000015e,96835.01614786731,30,0
WALLET_0x0000000004e8,WALLET_0x000000000648,1099948.5801564683,3,0
WALLET_0x0000000005dd,WALLET_0x0000000003dd,903016.4310796307,12,0
WALLET_0x000000000681,WALLET_0x0000000003fe,302944.72514033184,10,0
WALLET_0x00000000007d,WALLET_0x000000000496,296393.11442330584,1,0
WALLET_0x000000000026,WALLET_0x0000000007b2,31042.792482483535,18,0
WALLET_0x000000000128,WALLET_0x00000000045a,138125.164701008,6,0
WALLET_0x0000000005f7,WALLET_0x00000000018c,1018019.6225049322,30,0
WALLET_0x0000000005e1,WALLET_0x0000000002da,160777.7058296647,6,0
WALLET_0x00000000017a,WALLET_0x000000000558,5051595.072320717,30,0
WALLET_0x000000000776,WALLET_0x0000000007ce,2698882.3114469424,13,0
WALLET_0x000000000691,WALLET_0x00000000042f,223985.89705980293,15,0
WALLET_0x0000000002c0,WALLET_0x0000000005fb,297137.706350848,22,0
WALLET_0x0000000001cc,WALLET_0x0000000006fb,12417444.60186034,28,0
WALLET_0x000000000435,WALLET_0x0000000002ed,1576617.6368722983,10,0
WALLET_0x0000000004ac,WALLET_0x000000000059,491596.14237295353,4,0
WALLET_0x00000000029f,WALLET_0x000000000259,584524.4340802897,30,0
WALLET_0x000000000142,WALLET_0x0000000002d5,553124.5401770633,18,0
WALLET_0x000000000150,WALLET_0x0000000005ca,431291.5579969926,22,0
WALLET_0x000000000490,WALLET_0x0000000006b4,88746.0038142994,18,0
WALLET_0x00000000034d,WALLET_0x00000000072f,241959.48269385088,16,0
WALLET_0x000000000349,WALLET_0x000000000316,51325.383902214395,14,0
WALLET_0x0000000006c1,WALLET_0x000000000078,1312200.2906932565,15,0
WALLET_0x0000000000eb,WALLET_0x0000000006b8,362677.1484826544,7,0
WALLET_0x000000000592,WALLET_0x0000000004af,1415830.9347975797,18,0
WALLET_0x00000000031c,WALLET_0x0000000005ac,65405.256827911595,1,0
WALLET_0x000000000275,WALLET_0x000000000145,3734479.07426504,27,0
WALLET_0x0000000005ff,WALLET_0x0000000003d4,3098922.670109081,12,0
WALLET_0x00000000021e,WALLET_0x000000000278,41704.21135900577,12,0
WALLET_0x000000000647,WALLET_0x000000000274,207146.11811361034,28,0
WALLET_0x00000000019f,WALLET_0x000000000672,243776.36318998557,1,0
WALLET_0x00000000049b,WALLET_0x000000000524,51182.73539410761,28,0
WALLET_0x000000000080,WALLET_0x000000000422,299598.3236423725,2,0
WALLET_0x0000000004ef,WALLET_0x000000000592,1021862.800841729,23,0
WALLET_0x000000000230,WALLET_0x000000000467,218787.6073177451,28,0
WALLET_0x00000000022e,WALLET_0x000000000032,33883.28614907867,24,0
WALLET_0x000000000032,WALLET_0x0000000000b9,1409481.065677816,24,0
WALLET_0x00000000023b,WALLET_0x0000000001f4,134922.55229430253,9,0
WALLET_0x000000000515,WALLET_0x00000000000a,158038.49014311426,5,0
WALLET_0x000000000436,WALLET_0x00000000016b,5509247.531050815,6,0
WALLET_0x00000000050b,WALLET_0x000000000717,802094.2361959796,16,0
WALLET_0x0000000001dd,WALLET_0x0000000001c8,131453.80118071585,24,0
WALLET_0x000000000546,WALLET_0x0000000004d3,74336.18508221407,8,0
WALLET_0x000000000770,WALLET_0x000000000097,1883864.5588706988,5,0
WALLET_0x000000000552,WALLET_0x00000000037b,1699028.9521551947,20,0
WALLET_0x000000000160,WALLET_0x000000000430,206881.91383193742,17,0
WALLET_0x00000000015d,WALLET_0x000000000309,66935.51832517168,9,0
WALLET_0x000000000751,WALLET_0x00000000042f,788903.2113233908,22,0
WALLET_0x0000000006f8,WALLET_0x00000000063d,1078285.4920118393,30,0
WALLET_0x0000000004fb,WALLET_0x0000000001ee,252935.51732405616,14,0
WALLET_0x000000000660,WALLET_0x0000000000ed,84563.23729855096,26,0
WALLET_0x0000000002d0,WALLET_0x0000000002b5,459152.6020857766,4,0
WALLET_0x000000000134,WALLET_0x000000000248,884363.9641419769,18,0
WALLET_0x000000000011,WALLET_0x000000000228,213064.82603571576,28,0
WALLET_0x0000000003fc,WALLET_0x000000000278,655294.3576039845,2,0
WALLET_0x000000000650,WALLET_0x00000000065e,760294.0486551628,4,0
WALLET_0x0000000002ca,WALLET_0x0000000005c4,2466216.895836567,29,0
WALLET_0x00000000004f,WALLET_0x000000000707,235384.38313150423,25,0
WALLET_0x0000000005b0,WALLET_0x0000000004d1,80106.79320132801,28,0
WALLET_0x00000000060b,WALLET_0x0000000003eb,399920.2751884978,17,0
WALLET_0x000000000448,WALLET_0x0000000002d2,5560803.109649473,3,0
WALLET_0x0000000005a6,WALLET_0x0000000007ab,31423.581157979395,14,0
WALLET_0x00000000039d,WALLET_0x0000000005d4,13772.23714774638,29,0
WALLET_0x000000000326,WALLET_0x000000000513,376224.80812380963,13,0
WALLET_0x0000000001fd,WALLET_0x00000000073d,250468.1498180975,19,0
WALLET_0x0000000002b1,WALLET_0x0000000006ea,323661.17518150725,20,0
WALLET_0x00000000044f,WALLET_0x0000000000f7,306091.4355584226,18,0
WALLET_0x00000000030f,WALLET_0x000000000265,1999415.5419901889,6,0
WALLET_0x000000000050,WALLET_0x00000000044c,415113.5472723266,15,0
WALLET_0x00000000011b,WALLET_0x0000000006f3,1512665.8271205265,8,0
WALLET_0x0000000006d4,WALLET_0x000000000676,10761.654178179127,7,0
WALLET_0x00000000042a,WALLET_0x0000000002dc,200074.0180296715,10,0
WALLET_0x0000000006d3,WALLET_0x0000000005ba,130229.78171156469,20,0
WALLET_0x00000000049e,WALLET_0x0000000000ca,14371.793677554526,27,0
WALLET_0x00000000041e,WALLET_0x0000000002ea,516636.5306690978,29,0
WALLET_0x0000000001c8,WALLET_0x000000000524,380611.71946294967,15,0
WALLET_0x000000000652,WALLET_0x00000000049f,219570.48729962102,30,0
WALLET_0x0000000003b2,WALLET_0x00000000052d,366236.89091604063,3,0
WALLET_0x000000000160,WALLET_0x00000000037b,516631.8830277372,28,0
WALLET_0x00000000002c,WALLET_0x0000000006ef,2022101.7791302993,2,0
WALLET_0x0000000000a7,WALLET_0x000000000398,1159842.3259957503,28,0
WALLET_0x00000000054f,WALLET_0x0000000000e5,724206.6733253733,20,0
WALLET_0x0000000000e1,WALLET_0x000000000747,14088340.534825226,25,0
WALLET_0x00000000015a,WALLET_0x000000000440,152953.70766892837,17,0
WALLET_0x00000000059e,WALLET_0x0000000003ed,57534.955441940445,30,0
WALLET_0x0000000002d6,WALLET_0x000000000624,2574660.262562037,2,0
WALLET_0x000000000632,WALLET_0x0000000004e9,7277203.1913512265,7,0
WALLET_0x0000000003b2,WALLET_0x0000000003fe,170623.01480547813,11,0
WALLET_0x000000000471,WALLET_0x0000000001d7,3494506.6575645334,16,0
WALLET_0x00000000055a,WALLET_0x000000000155,198752.631745644,24,0
WALLET_0x0000000002fe,WALLET_0x0000000005b6,1063557.0153780933,27,0
WALLET_0x0000000006c4,WALLET_0x00000000026e,1155922.6194929562,19,0
WALLET_0x000000000166,WALLET_0x00000000034a,171685.68327795682,5,0
WALLET_0x000000000767,WALLET_0x000000000642,7060931.351561809,12,0
WALLET_0x000000000738,WALLET_0x000000000402,8388513.903620242,15,0
WALLET_0x0000000004fc,WALLET_0x000000000273,95625.0636812385,26,0
WALLET_0x000000000224,WALLET_0x00000000010a,598140.7478713368,1,0
WALLET_0x00000000060c,WALLET_0x0000000002fd,1744107.3109593287,21,0
WALLET_0x000000000748,WALLET_0x0000000007af,26268.479291061176,21,0
WALLET_0x000000000391,WALLET_0x000000000264,460167.5400815811,13,0
WALLET_0x0000000000bc,WALLET_0x000000000758,37057.76685041249,25,0
WALLET_0x0000000000c1,WALLET_0x000000000755,1204080.0384284314,30,0
WALLET_0x000000000440,WALLET_0x00000000067b,503309.1088174999,18,0
WALLET_0x000000000534,WALLET_0x000000000551,252545.41186330095,8,0
WALLET_0x0000000002bf,WALLET_0x000000000789,42177.7406193643,3,0
WALLET_0x000000000279,WALLET_0x0000000005b5,180249.49962036172,11,0
WALLET_0x00000000000f,WALLET_0x0000000001ad,963950.7381691233,23,0
WALLET_0x0000000002d1,WALLET_0x000000000459,416043.3824143331,27,0
WALLET_0x000000000264,WALLET_0x000000000094,2646626.167558847,17,0
WALLET_0x00000000028b,WALLET_0x0000000002b6,2401580.927997864,28,0
WALLET_0x000000000360,WALLET_0x0000000005a7,2253380.48278184,3,0
WALLET_0x000000000232,WALLET_0x00000000006e,197470.99190228732,12,0
WALLET_0x000000000296,WALLET_0x000000000694,688632.440116004,10,0
WALLET_0x000000000427,WALLET_0x00000000031d,104000.25601469915,15,0
WALLET_0x0000000003ba,WALLET_0x0000000000b8,66842.76697016765,12,0
WALLET_0x000000000500,WALLET_0x0000000006dd,2604575.0649104803,24,0
WALLET_0x000000000217,WALLET_0x0000000003da,74623.74001732444,19,0
WALLET_0x000000000513,WALLET_0x000000000305,63517.4164037071,14,0
WALLET_0x000000000637,WALLET_0x00000000030a,518031.8387330769,9,0
WALLET_0x0000000005da,WALLET_0x0000000001a8,294780.4674173122,4,0
WALLET_0x00000000003d,WALLET_0x000000000542,335599.0996112973,18,0
WALLET_0x0000000003f7,WALLET_0x000000000555,14054901.598059924,14,0
WALLET_0x000000000091,WALLET_0x0000000003e3,99538.5687321535,12,0
WALLET_0x00000000024f,WALLET_0x000000000798,929637.3260942262,30,0
WALLET_0x0000000006de,WALLET_0x0000000004b9,503852.49569384306,19,0
WALLET_0x000000000572,WALLET_0x00000000016b,2010729.9873471973,5,0
WALLET_0x0000000001b1,WALLET_0x00000000045a,136123.34340139732,19,0
WALLET_0x000000000632,WALLET_0x0000000003c4,315938.46607144043,12,0
WALLET_0x0000000007aa,WALLET_0x000000000339,525034.893969994,24,0
WALLET_0x000000000687,WALLET_0x000000000720,51496.45352324011,22,0
WALLET_0x000000000304,WALLET_0x0000000007c0,29486.107700164368,30,0
WALLET_0x00000000019c,WALLET_0x000000000026,428824.07875472493,28,0
WALLET_0x00000000028f,WALLET_0x00000000020a,3290190.931399009,22,0
WALLET_0x0000000002b1,WALLET_0x000000000225,260848.32923547892,5,0
WALLET_0x00000000055f,WALLET_0x00000000041b,320415.2556222403,17,0
WALLET_0x0000000004d8,WALLET_0x0000000003d9,2485684.3941098372,11,0
WALLET_0x00000000020a,WALLET_0x000000000561,353902.2839454643,5,0
WALLET_0x0000000001e1,WALLET_0x0000000001c7,1418858.8215823048,21,0
WALLET_0x000000000699,WALLET_0x000000000030,24147745.165008202,23,0
WALLET_0x00000000067d,WALLET_0x00000000027b,186167.77268695642,24,0
WALLET_0x00000000059b,WALLET_0x000000000361,339224.672765055,21,0
WALLET_0x0000000006cd,WALLET_0x00000000027c,801569.7053265076,5,0
WALLET_0x0000000002cb,WALLET_0x00000000079e,4145092.384087051,17,0
WALLET_0x0000000003a2,WALLET_0x0000000006d4,372245.8620992604,29,0
WALLET_0x00000000054f,WALLET_0x000000000031,1321005.668567629,28,0
WALLET_0x00000000019a,WALLET_0x0000000006ca,745512.8675041446,16,0
WALLET_0x0000000002f4,WALLET_0x000000000661,396979.55174713425,18,0
WALLET_0x00000000076e,WALLET_0x000000000478,235476.78478377033,3,0
WALLET_0x0000000000af,WALLET_0x00000000005c,177402.61357692353,7,0
WALLET_0x000000000600,WALLET_0x000000000033,43937944.65101187,30,0
WALLET_0x0000000005ac,WALLET_0x0000000003f6,43845.51282885796,30,0
WALLET_0x00000000044b,WALLET_0x000000000075,50542.279318284796,7,0
WALLET_0x000000000721,WALLET_0x000000000608,638649.2459902628,30,0
WALLET_0x000000000340,WALLET_0x00000000016f,600128.4522703683,25,0
WALLET_0x000000000565,WALLET_0x0000000004cc,838633.6545909264,10,0
WALLET_0x00000000044c,WALLET_0x00000000021c,119155.24168727902,26,0
WALLET_0x000000000728,WALLET_0x000000000744,94872.69862079482,25,0
WALLET_0x000000000567,WALLET_0x000000000470,288299.38669165014,20,0
WALLET_0x0000000001d1,WALLET_0x000000000082,1726179.8718989496,27,0
WALLET_0x000000000046,WALLET_0x000000000796,96124.3896588167,25,0
WALLET_0x00000000059a,WALLET_0x000000000605,554979.9274655913,2,0
WALLET_0x00000000014d,WALLET_0x000000000541,205173.38708537043,4,0
WALLET_0x000000000346,WALLET_0x0000000001ff,44948.76830449997,19,0
WALLET_0x0000000002c4,WALLET_0x000000000732,64724.07268358192,3,0
WALLET_0x000000000276,WALLET_0x00000000035f,1733272.278141634,19,0
WALLET_0x000000000043,WALLET_0x00000000008b,178840.6678733756,6,0
WALLET_0x0000000004af,WALLET_0x0000000004c3,2858229.7434319453,5,0
WALLET_0x000000000118,WALLET_0x000000000030,418372.96321022534,19,0
WALLET_0x00000000064e,WALLET_0x000000000038,56855.068971947,7,0
WALLET_0x000000000642,WALLET_0x0000000002dc,905097.8645380086,2,0
WALLET_0x000000000024,WALLET_0x000000000284,132984.5566188611,27,0
WALLET_0x000000000641,WALLET_0x0000000000c7,251382.80242909517,22,0
WALLET_0x00000000002c,WALLET_0x000000000187,2419535.649298258,11,0
WALLET_0x000000000073,WALLET_0x0000000003de,63926.04635560969,19,0
WALLET_0x00000000059e,WALLET_0x000000000348,225387.66392379242,19,0
WALLET_0x000000000317,WALLET_0x00000000003d,87090.40499958147,23,0
WALLET_0x0000000005fb,WALLET_0x00000000078d,74198.60380568582,25,0
WALLET_0x000000000258,WALLET_0x000000000617,217556.3589543327,13,0
WALLET_0x0000000002fc,WALLET_0x000000000550,122228.23873885412,23,0
WALLET_0x0000000006ee,WALLET_0x00000000049f,293355.2073045616,1,0
WALLET_0x0000000006b9,WALLET_0x000000000382,1153440.867282585,12,0
WALLET_0x0000000005a3,WALLET_0x00000000060c,143445.3273677877,8,0
WALLET_0x0000000001ea,WALLET_0x0000000000b5,48909.449715362585,30,0
WALLET_0x0000000003b4,WALLET_0x00000000013b,1158010.4879389107,28,0
WALLET_0x0000000003a9,WALLET_0x0000000003a2,142007.0446711566,18,0
WALLET_0x0000000006f5,WALLET_0x0000000000ae,6862988.19671228,22,0
WALLET_0x000000000513,WALLET_0x000000000069,239547.2091645526,6,0
WALLET_0x000000000780,WALLET_0x00000000073c,360784.90273452096,12,0
WALLET_0x00000000011a,WALLET_0x0000000000f2,13958.746110009231,9,0
WALLET_0x000000000424,WALLET_0x000000000356,77450.8992346936,16,0
WALLET_0x0000000005f2,WALLET_0x000000000750,14491.088811459074,18,0
WALLET_0x00000000043f,WALLET_0x0000000006f5,687715.8215843464,7,0
WALLET_0x0000000006c6,WALLET_0x000000000745,391329.3738109021,21,0
WALLET_0x000000000400,WALLET_0x000000000283,1138457.4791401168,26,0
WALLET_0x0000000006a6,WALLET_0x000000000750,1485281.6327589517,3,0
WALLET_0x0000000003a3,WALLET_0x0000000004d6,1871419.7085706708,25,0
WALLET_0x00000000074b,WALLET_0x0000000004ff,315665.92033462087,5,0
WALLET_0x0000000002ca,WALLET_0x0000000000a2,502886.1949344987,29,0
WALLET_0x000000000530,WALLET_0x00000000041c,1054326.815937752,4,0
WALLET_0x0000000005a2,WALLET_0x000000000487,134310.28611231697,23,0
WALLET_0x0000000002f1,WALLET_0x00000000055e,108334.75871540104,14,0
WALLET_0x0000000001c7,WALLET_0x000000000117,4457509.944224687,20,0
WALLET_0x000000000579,WALLET_0x0000000007b3,29458.968841889993,21,0
WALLET_0x000000000198,WALLET_0x0000000003da,936594.8976537918,18,0
WALLET_0x0000000003e6,WALLET_0x000000000710,738087.4369476977,14,0
WALLET_0x000000000640,WALLET_0x000000000799,82044.67033842832,4,0
WALLET_0x000000000714,WALLET_0x00000000056a,162467.8495588478,8,0
WALLET_0x000000000771,WALLET_0x000000000000,259040.17772824242,24,0
WALLET_0x0000000002de,WALLET_0x000000000367,612318.8537295633,1,0
WALLET_0x00000000065b,WALLET_0x000000000562,749758.8525145992,29,0
WALLET_0x0000000002c1,WALLET_0x000000000364,422356.7790147121,18,0
WALLET_0x0000000003db,WALLET_0x000000000428,586887.8053166264,22,0
WALLET_0x000000000519,WALLET_0x000000000780,1189656.7791041983,11,0
WALLET_0x0000000007c0,WALLET_0x000000000115,1110026.9416697389,18,0
WALLET_0x00000000035d,WALLET_0x00000000045f,4419157.4323726995,5,0
WALLET_0x0000000004bd,WALLET_0x0000000001d6,2115292.3836392877,25,0
WALLET_0x000000000390,WALLET_0x000000000400,454379.025153496,6,0
WALLET_0x0000000003aa,WALLET_0x0000000006e1,1156632.242615109,17,0
WALLET_0x000000000615,WALLET_0x0000000005fe,835457.4663023921,12,0
WALLET_0x000000000385,WALLET_0x000000000727,566147.469763314,24,0
WALLET_0x0000000003c0,WALLET_0x0000000003c4,120222.84630071127,23,0
WALLET_0x0000000001f6,WALLET_0x000000000604,564323.9877180109,12,0
WALLET_0x000000000425,WALLET_0x00000000049c,19972.806829983998,26,0
WALLET_0x00000000048c,WALLET_0x0000000006a8,2209966.193879103,10,0
WALLET_0x000000000635,WALLET_0x000000000200,748271.8113116737,16,0
WALLET_0x00000000051e,WALLET_0x000000000151,348440.39085654076,7,0
WALLET_0x0000000006ba,WALLET_0x0000000000f6,235372.0151293206,1,0
WALLET_0x000000000585,WALLET_0x00000000031a,1180860.332140648,28,0
WALLET_0x00000000058a,WALLET_0x0000000000dd,6964045.547724359,10,0
WALLET_0x000000000472,WALLET_0x00000000036d,776552.7442941108,9,0
WALLET_0x0000000000df,WALLET_0x00000000039c,7674178.29817622,22,0
WALLET_0x00000000077a,WALLET_0x000000000139,1434793.2545471187,15,0
WALLET_0x00000000039c,WALLET_0x000000000328,132176.8736513219,12,0
WALLET_0x000000000081,WALLET_0x000000000073,919507.8679834831,3,0
WALLET_0x000000000122,WALLET_0x00000000006e,794209.1623993058,13,0
WALLET_0x000000000727,WALLET_0x00000000019c,132060.02351647924,26,0
WALLET_0x000000000059,WALLET_0x0000000005c6,240003.9033470626,2,0
WALLET_0x00000000029a,WALLET_0x000000000580,232972.234792797,12,0
WALLET_0x00000000067a,WALLET_0x000000000039,514184.9058426018,4,0
WALLET_0x000000000370,WALLET_0x0000000007bd,290669.40564654395,13,0
WALLET_0x0000000005c7,WALLET_0x0000000002f4,661986.3851237249,30,0
WALLET_0x0000000002b2,WALLET_0x0000000000d8,844102.6412872317,24,0
WALLET_0x00000000068f,WALLET_0x0000000001eb,2962377.3139935327,10,0
WALLET_0x0000000002af,WALLET_0x00000000068d,1008232.8351956187,18,0
WALLET_0x00000000016d,WALLET_0x0000000002a6,154367.09400102316,1,0
WALLET_0x000000000273,WALLET_0x000000000652,10497570.124260897,2,0
WALLET_0x0000000007b9,WALLET_0x000000000658,155873.35800854306,7,0
WALLET_0x00000000049b,WALLET_0x000000000284,247362.81698381997,25,0
WALLET_0x000000000628,WALLET_0x0000000002ec,1084081.5952447471,18,0
WALLET_0x0000000003e5,WALLET_0x00000000017b,34036687.05355986,25,0
WALLET_0x0000000007a2,WALLET_0x00000000048f,808049.1600007748,17,0
WALLET_0x0000000000c8,WALLET_0x0000000000a3,168995.47052200785,16,0
WALLET_0x0000000006c1,WALLET_0x000000000556,37835.775333611906,8,0
WALLET_0x000000000537,WALLET_0x00000000049f,34243.894838686916,14,0
WALLET_0x000000000050,WALLET_0x000000000292,449745.5608206913,5,0
WALLET_0x00000000058f,WALLET_0x00000000059c,1001609.3901428165,2,0
WALLET_0x0000000005c3,WALLET_0x000000000343,52589.93312479872,23,0
WALLET_0x0000000004e8,WALLET_0x000000000301,617206.111912048,21,0
WALLET_0x000000000084,WALLET_0x0000000002cd,61675.49409472983,1,0
